Instance;Size;#Tiles;Value;#Clauses;#Variables;TimeR;MemoryMad;TimeMad;MemoryMer;TimeMer;MemoryBFS;TIMEBFS
161;20;9;3;3289;1073;0.35;1820;1800.13;3961.5;893.39;1197.6;1800.15
162;20;9;3;2522;848;0.80;2058.3;158.77;4090.8;893.18;1583.7;1800.09
163;20;9;3;3766;1227;0.96;2063.3;197.03;3947.3;792.41;1157.8;1800.14
164;20;9;3;3671;1204;0.77;2052.3;1800.11;4087.6;810.65;1169.5;1800.16
165;25;9;3;4384;1398;0.77;2190.2;534.54;3936.5;819.31;6409.4;1718.79
166;20;9;3;3150;1036;0.44;2044.5;1800.16;1587.2;1800.13
167;25;9;3;3174;1078;0.60;2147.4;266.12;4089.9;1049.27;5957.6;1800.32
168;25;9;3;4765;1525;0.77;2196;387.84;4087.4;878.72;1400.1;1800.09
169;25;9;3;4549;1463;0.80;2166.4;1800.19;4079.2;709.54;1939.3;1800.16
170;20;9;3;3509;1141;0.38;2068.1;1800.2;4091.6;1190.67;1471.4;1800.1
171;25;10;2;4813;1528;0.21;2152.8;908.96;3963.5;890.1;6301.6;1800.3
172;25;10;2;4414;1408;0.38;2074.2;831.76;3932.8;905.13;6308.6;1800.3
173;25;10;2;4589;1467;2.89;2188.7;314.35;3959.2;907.33;6331.8;1800.32
174;25;10;2;4595;1492;1.28;2058.8;600.14;3942.2;1039.58;6163.6;1800.3
175;25;10;2;4676;1523;1.47;2045.1;300.62;3946.1;888.15;6156.2;1800.31
176;25;10;2;4922;1603;0.53;2031.1;281.47;6405.3;1779.98
177;25;10;2;4489;1423;0.50;2197.5;501.65;4092.1;1219.71;6348.2;1800.26
178;20;10;2;3368;1128;0.34;2012.8;1800.11;4090.2;1006.01;2076.8;1800.09
179;25;10;2;4136;1338;0.33;2057.4;323.13;4091.6;907.52;6162.3;1800.27
180;20;10;2;3943;1285;0.51;2138.7;570.16;4090.4;830.43;2041.3;1800.13
181;20;10;3;3992;1304;0.91;2123.8;131.36;4090.9;890.06;2876.1;1800.18
182;20;10;3;3664;1195;0.95;1997.2;170.09;3938.6;829.37;2215.4;1800.18
183;25;10;3;4950;1603;0.87;2251.4;1780.61;3952.3;792.49;6323.9;1800.29
184;24;10;3;5391;1740;0.93;2208.1;1800.17;3955.7;1004.17;6406.8;1637.81
185;20;10;3;4211;1376;0.98;2024.4;352.26;3928.8;816.78;1622.2;1800.13
186;20;10;3;3760;1232;1.05;2046.1;243.78;1317;1800.13
187;20;10;3;3352;1114;1.90;1912;1800.14;4090.8;936.85;1287.7;1800.15
188;25;10;3;5064;1587;1.04;2096.9;171.6;4084.9;910.54;6346.7;1800.3
189;20;10;3;3839;1256;0.21;2044;130.99;4088.9;853.4;1645;1800.16
190;25;10;3;5478;1728;0.32;2125.5;686.72;4089.2;927.03;6404.6;1800.29
191;25;10;2;4565;1457;0.73;2069.7;624.84;4091.5;894.85;6116.1;1800.42
192;25;10;2;5303;1687;1.59;2223.2;330.85;4090.2;864.51;2708.1;1800.16
193;25;10;2;4502;1452;0.78;2075;1800.16;4090.2;867.64;6156.3;1800.3
194;25;10;2;4435;1431;0.92;2007.9;362.29;3945.4;888.41;5841.4;1800.27
195;24;10;2;4061;1325;0.20;2027.3;633.5;3955.3;890.98;5818.3;1800.28
196;25;10;2;4801;1541;0.73;2032.6;262.26;6080.4;1800.27
197;20;10;2;3862;1256;1.37;2157.7;505.52;4091.3;1169.11;2040;1800.1
198;25;10;2;4482;1430;0.91;2032.1;262.8;4088.6;928.92;6006.7;1800.27
199;25;10;2;4818;1530;1.45;1980.3;1800.13;4091.1;896.69;5997.9;1800.28
200;24;10;2;3984;1288;0.47;2047;313.12;4090.9;951.72;5776.5;1800.26
201;25;11;3;5777;1847;1.10;2210;462.45;4091.2;1271.49;5455.9;1800.26
202;25;11;3;5114;1650;0.26;2017.9;1800.18;4090;1039.93;4838;1800.23
203;24;11;3;5870;1877;1.24;1952.3;1800.11;4089.6;978.25;5769.1;1800.33
204;30;11;3;7974;2536;1.28;2212.8;1800.13;3943.8;1062.93;4783;1800.26
